Year,CountryOfNationality,TotalStudy
2005 Q1,Afghanistan,8
2005 Q1,Albania,27
2005 Q1,Algeria,38
2005 Q1,American Samoa,0
2005 Q1,Andorra,0
2005 Q1,Angola,59
2005 Q1,Anguilla (British),0
2005 Q1,Antigua and Barbuda,1
2005 Q1,Argentina,28
2005 Q1,Armenia,21
2005 Q1,Aruba,0
2005 Q1,Australia,54
2005 Q1,Austria,0
2005 Q1,Azerbaijan,54
2005 Q1,"Bahamas, The",8
2005 Q1,Bahrain,57
2005 Q1,Bangladesh,709
2005 Q1,Barbados,16
2005 Q1,Belarus,75
2005 Q1,Belgium,0
2005 Q1,Belize,0
2005 Q1,Benin,10
2005 Q1,Bermuda (British),0
2005 Q1,Bhutan,5
2005 Q1,Bolivia,13
2005 Q1,"Bonaire, Sint Eustatius and Saba",0
2005 Q1,Bosnia and Herzegovina,17
2005 Q1,Botswana,19
2005 Q1,Brazil,590
2005 Q1,British overseas citizens,2
2005 Q1,Brunei,17
2005 Q1,Bulgaria,64
2005 Q1,Burkina,4
2005 Q1,Burma,87
2005 Q1,Burundi,3
2005 Q1,Cambodia,9
2005 Q1,Cameroon,88
2005 Q1,Canada,78
2005 Q1,Cape Verde,3
2005 Q1,Cayman Islands (British),0
2005 Q1,Central African Republic,0
2005 Q1,Chad,0
2005 Q1,Chile,35
2005 Q1,China,"1,777"
2005 Q1,Christmas Island,0
2005 Q1,Cocos (Keeling) Islands,0
2005 Q1,Colombia,628
2005 Q1,Comoros,2
2005 Q1,Congo,11
2005 Q1,Congo (Democratic Republic),5
2005 Q1,Cook Islands,0
2005 Q1,Costa Rica,1
2005 Q1,Croatia,64
2005 Q1,Cuba,8
2005 Q1,Curacao,0
2005 Q1,Cyprus,2
2005 Q1,Cyprus (Northern part of),0
2005 Q1,Czech Republic,0
2005 Q1,Denmark,0
2005 Q1,Djibouti,2
2005 Q1,Dominica,4
2005 Q1,Dominican Republic,5
2005 Q1,East Timor,0
2005 Q1,Ecuador,40
2005 Q1,Egypt,214
2005 Q1,El Salvador,5
2005 Q1,Equatorial Guinea,7
2005 Q1,Eritrea,3
2005 Q1,Estonia,0
2005 Q1,Ethiopia,18
2005 Q1,Falkland Islands (British),0
2005 Q1,Faroe Islands,0
2005 Q1,Fiji,2
2005 Q1,Finland,0
2005 Q1,Former Yugoslavia,0
2005 Q1,France,0
2005 Q1,French Guiana,0
2005 Q1,French Polynesia,0
2005 Q1,Gabon,11
2005 Q1,"Gambia, The",109
2005 Q1,Georgia,39
2005 Q1,Germany,0
2005 Q1,Ghana,293
2005 Q1,Gibraltar (British),0
2005 Q1,Greece,0
2005 Q1,Greenland,0
2005 Q1,Grenada,6
2005 Q1,Guadeloupe,0
2005 Q1,Guam,0
2005 Q1,Guatemala,2
2005 Q1,Guinea,12
2005 Q1,Guinea-Bissau,2
2005 Q1,Guyana,16
2005 Q1,Haiti,4
2005 Q1,Heard Island and McDonald Islands,0
2005 Q1,Honduras,3
2005 Q1,Hong Kong,187
2005 Q1,Hungary,0
2005 Q1,Iceland,0
2005 Q1,India,"3,637"
2005 Q1,Indonesia,115
2005 Q1,Iran,252
2005 Q1,Iraq,33
2005 Q1,Ireland,0
2005 Q1,Israel,224
2005 Q1,Italy,0
2005 Q1,Ivory Coast,40
2005 Q1,Jamaica,23
2005 Q1,Japan,"1,888"
2005 Q1,Jordan,101
2005 Q1,Kazakhstan,115
2005 Q1,Kenya,94
2005 Q1,Kiribati,1
2005 Q1,Korea (North),2
2005 Q1,Korea (South),"2,159"
2005 Q1,Kosovo,0
2005 Q1,Kuwait,95
2005 Q1,Kyrgyzstan,17
2005 Q1,Laos,3
2005 Q1,Latvia,0
2005 Q1,Lebanon,35
2005 Q1,Lesotho,0
2005 Q1,Liberia,0
2005 Q1,Libya,"1,188"
2005 Q1,Liechtenstein,0
2005 Q1,Lithuania,0
2005 Q1,Luxembourg,0
2005 Q1,Macau,8
2005 Q1,Macedonia,8
2005 Q1,Madagascar,7
2005 Q1,Malawi,133
2005 Q1,Malaysia,479
2005 Q1,Maldives,1
2005 Q1,Mali,5
2005 Q1,Malta,0
2005 Q1,Marshall Islands,0
2005 Q1,Martinique,0
2005 Q1,Mauritania,3
2005 Q1,Mauritius,268
2005 Q1,Mayotte,0
2005 Q1,Mexico,147
2005 Q1,Micronesia,0
2005 Q1,Moldova,21
2005 Q1,Monaco,0
2005 Q1,Mongolia,26
2005 Q1,Montenegro,0
2005 Q1,Montserrat (British),0
2005 Q1,Morocco,71
2005 Q1,Mozambique,10
2005 Q1,Namibia,7
2005 Q1,Nauru,0
2005 Q1,Nepal,102
2005 Q1,Netherlands,0
2005 Q1,Netherlands Antilles,0
2005 Q1,New Caledonia,0
2005 Q1,New Zealand,15
2005 Q1,Nicaragua,0
2005 Q1,Niger,4
2005 Q1,Nigeria,"1,400"
2005 Q1,Niue,0
2005 Q1,Norfolk Island,0
2005 Q1,Northern Mariana Islands,0
2005 Q1,Norway,0
2005 Q1,Occupied Palestinian Territories,24
2005 Q1,Oman,102
2005 Q1,Other and unknown,20
2005 Q1,Pakistan,"1,652"
2005 Q1,Palau,0
2005 Q1,Panama,3
2005 Q1,Papua New Guinea,3
2005 Q1,Paraguay,4
2005 Q1,Peru,87
2005 Q1,Philippines,383
2005 Q1,Pitcairn Islands (British),0
2005 Q1,Poland,0
2005 Q1,Portugal,0
2005 Q1,Puerto Rico,0
2005 Q1,Qatar,89
2005 Q1,Refugee,0
2005 Q1,Reunion,0
2005 Q1,Romania,107
2005 Q1,Russia,234
2005 Q1,Rwanda,4
2005 Q1,Samoa,0
2005 Q1,San Marino,0
2005 Q1,Sao Tome and Principe,13
2005 Q1,Saudi Arabia,466
2005 Q1,Senegal,13
2005 Q1,Serbia,0
2005 Q1,Serbia and Montenegro,100
2005 Q1,Seychelles,4
2005 Q1,Sierra Leone,34
2005 Q1,Singapore,38
2005 Q1,Slovakia,0
2005 Q1,Slovenia,0
2005 Q1,Solomon Islands,4
2005 Q1,Somalia,1
2005 Q1,South Africa,84
2005 Q1,South Georgia and South Sandwich Islands,0
2005 Q1,Spain,1
2005 Q1,Sri Lanka,510
2005 Q1,St. Helena (British),0
2005 Q1,St. Kitts and Nevis,1
2005 Q1,St. Lucia,18
2005 Q1,St. Maarten (Dutch Part),0
2005 Q1,St. Martin (French Part),0
2005 Q1,St. Pierre and Miquelon,0
2005 Q1,St. Vincent and the Grenadines,6
2005 Q1,Stateless,4
2005 Q1,Sudan,86
2005 Q1,Sudan (South),0
2005 Q1,Surinam,0
2005 Q1,Svalbard and Jan Mayen,0
2005 Q1,Swaziland,1
2005 Q1,Sweden,0
2005 Q1,Switzerland,0
2005 Q1,Syria,117
2005 Q1,Taiwan,765
2005 Q1,Tajikistan,2
2005 Q1,Tanzania,126
2005 Q1,Thailand,555
2005 Q1,Togo,5
2005 Q1,Tokelau,0
2005 Q1,Tonga,0
2005 Q1,Trinidad and Tobago,46
2005 Q1,Tunisia,22
2005 Q1,Turkey,552
2005 Q1,Turkmenistan,62
2005 Q1,Turks and Caicos Islands (British),0
2005 Q1,Tuvalu,0
2005 Q1,Uganda,109
2005 Q1,Ukraine,81
2005 Q1,United Arab Emirates,253
2005 Q1,United States,477
2005 Q1,Uruguay,2
2005 Q1,Uzbekistan,61
2005 Q1,Vanuatu,0
2005 Q1,Vatican City,0
2005 Q1,Venezuela,50
2005 Q1,Vietnam,145
2005 Q1,Virgin Islands (British),0
2005 Q1,Virgin Islands (US),0
2005 Q1,Wallis and Futuna,0
2005 Q1,Western Sahara,0
2005 Q1,Yemen,54
2005 Q1,Zambia,139
2005 Q1,Zimbabwe,198
2005 Q2,Afghanistan,10
2005 Q2,Albania,34
2005 Q2,Algeria,29
2005 Q2,American Samoa,0
2005 Q2,Andorra,0
2005 Q2,Angola,56
2005 Q2,Anguilla (British),0
2005 Q2,Antigua and Barbuda,1
2005 Q2,Argentina,36
2005 Q2,Armenia,36
2005 Q2,Aruba,0
2005 Q2,Australia,101
2005 Q2,Austria,0
2005 Q2,Azerbaijan,141
2005 Q2,"Bahamas, The",11
2005 Q2,Bahrain,69
2005 Q2,Bangladesh,765
2005 Q2,Barbados,8
2005 Q2,Belarus,410
2005 Q2,Belgium,0
2005 Q2,Belize,4
2005 Q2,Benin,7
2005 Q2,Bermuda (British),1
2005 Q2,Bhutan,1
2005 Q2,Bolivia,34
2005 Q2,"Bonaire, Sint Eustatius and Saba",0
2005 Q2,Bosnia and Herzegovina,56
