"COUNTRY","Country","SEX","Sex","COUNTRY_ORIGIN","Country of origin","ISC11_LEVEL","Level of education","ISC11P_CAT","Category of education","YEAR","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","T","Total","A2","North American countries","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","T","All educational programmes","9999","Latest available year","PER","Persons","0","Units",,,6372,,
"AUS","Australia","T","Total","CA","Canada","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","T","All educational programmes","9999","Latest available year","PER","Persons","0","Units",,,3430,,
"AUS","Australia","T","Total","US","United States","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","T","All educational programmes","9999","Latest available year","PER","Persons","0","Units",,,2942,,
"AUS","Australia","T","Total","A9","Latin America & Carribean","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","T","All educational programmes","9999","Latest available year","PER","Persons","0","Units",,,6082,,
"AUS","Australia","T","Total","CL","Chile","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","T","All educational programmes","9999","Latest available year","PER","Persons","0","Units",,,588,,
"AUS","Australia","T","Total","MX","Mexico","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","T","All educational programmes","9999","Latest available year","PER","Persons","0","Units",,,609,,
"AUS","Australia","T","Total","E1","Europe ","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","T","All educational programmes","9999","Latest available year","PER","Persons","0","Units",,,11239,,
"AUS","Australia","T","Total","AT","Austria","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","T","All educational programmes","9999","Latest available year","PER","Persons","0","Units",,,265,,
"AUS","Australia","T","Total","BE","Belgium","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","T","All educational programmes","9999","Latest available year","PER","Persons","0","Units",,,108,,
"AUS","Australia","T","Total","CH","Switzerland","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","T","All educational programmes","9999","Latest available year","PER","Persons","0","Units",,,257,,
"AUS","Australia","T","Total","CZ","Czech Republic","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","T","All educational programmes","9999","Latest available year","PER","Persons","0","Units",,,245,,
"AUS","Australia","T","Total","DE","Germany","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","T","All educational programmes","9999","Latest available year","PER","Persons","0","Units",,,1237,,
"AUS","Australia","T","Total","DK","Denmark","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","T","All educational programmes","9999","Latest available year","PER","Persons","0","Units",,,147,,
"AUS","Australia","T","Total","EE","Estonia","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","T","All educational programmes","9999","Latest available year","PER","Persons","0","Units",,,63,,
"AUS","Australia","T","Total","ES","Spain","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","T","All educational programmes","9999","Latest available year","PER","Persons","0","Units",,,414,,
"AUS","Australia","T","Total","FI","Finland","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","T","All educational programmes","9999","Latest available year","PER","Persons","0","Units",,,105,,
"AUS","Australia","T","Total","FR","France","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","T","All educational programmes","9999","Latest available year","PER","Persons","0","Units",,,1184,,
"AUS","Australia","T","Total","GB","United Kingdom","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","T","All educational programmes","9999","Latest available year","PER","Persons","0","Units",,,1592,,
"AUS","Australia","T","Total","GR","Greece","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","T","All educational programmes","9999","Latest available year","PER","Persons","0","Units",,,170,,
"AUS","Australia","T","Total","HU","Hungary","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","T","All educational programmes","9999","Latest available year","PER","Persons","0","Units",,,149,,
"AUS","Australia","T","Total","IE","Ireland","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","T","All educational programmes","9999","Latest available year","PER","Persons","0","Units",,,283,,
"AUS","Australia","T","Total","IS","Iceland","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","T","All educational programmes","9999","Latest available year","PER","Persons","0","Units",,,23,,
"AUS","Australia","T","Total","IT","Italy","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","T","All educational programmes","9999","Latest available year","PER","Persons","0","Units",,,988,,
"AUS","Australia","T","Total","LU","Luxembourg","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","T","All educational programmes","9999","Latest available year","PER","Persons","0","Units",,,4,,
"AUS","Australia","T","Total","LV","Latvia","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","T","All educational programmes","9999","Latest available year","PER","Persons","0","Units",,,21,,
"AUS","Australia","T","Total","NL","Netherlands","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","T","All educational programmes","9999","Latest available year","PER","Persons","0","Units",,,257,,
"AUS","Australia","T","Total","NO","Norway","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","T","All educational programmes","9999","Latest available year","PER","Persons","0","Units",,,853,,
"AUS","Australia","T","Total","PL","Poland","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","T","All educational programmes","9999","Latest available year","PER","Persons","0","Units",,,347,,
"AUS","Australia","T","Total","PT","Portugal","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","T","All educational programmes","9999","Latest available year","PER","Persons","0","Units",,,167,,
"AUS","Australia","T","Total","SI","Slovenia","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","T","All educational programmes","9999","Latest available year","PER","Persons","0","Units",,,23,,
"AUS","Australia","T","Total","SK","Slovak Republic","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","T","All educational programmes","9999","Latest available year","PER","Persons","0","Units",,,206,,
"AUS","Australia","T","Total","F1","Africa","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","T","All educational programmes","9999","Latest available year","PER","Persons","0","Units",,,7111,,
"AUS","Australia","T","Total","O3","Oceania","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","T","All educational programmes","9999","Latest available year","PER","Persons","0","Units",,,4322,,
"AUS","Australia","T","Total","AU","Australia","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","T","All educational programmes","9999","Latest available year","PER","Persons","0","Units",,,,"z","Not applicable"
"AUS","Australia","T","Total","NZ","New Zealand","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","T","All educational programmes","9999","Latest available year","PER","Persons","0","Units",,,2362,,
"AUS","Australia","T","Total","S1","Asia","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","T","All educational programmes","9999","Latest available year","PER","Persons","0","Units",,,252954,,
"AUS","Australia","T","Total","IL","Israel","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","T","All educational programmes","9999","Latest available year","PER","Persons","0","Units",,,116,,
"AUS","Australia","T","Total","JP","Japan","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","T","All educational programmes","9999","Latest available year","PER","Persons","0","Units",,,1672,,
"AUS","Australia","T","Total","KR","Korea, Republic of","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","T","All educational programmes","9999","Latest available year","PER","Persons","0","Units",,,6234,,
"AUS","Australia","T","Total","TR","Turkey","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","T","All educational programmes","9999","Latest available year","PER","Persons","0","Units",,,456,,
"AUS","Australia","T","Total","W19","Rest of the World (non allocated geographically)","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","T","All educational programmes","9999","Latest available year","PER","Persons","0","Units",,,6358,,
"AUS","Australia","T","Total","OECD","OECD total","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","T","All educational programmes","9999","Latest available year","PER","Persons","0","Units",,,28196,,
"AUT","Austria","T","Total","A2","North American countries","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","T","All educational programmes","9999","Latest available year","PER","Persons","0","Units",,,737.676,,
"AUT","Austria","T","Total","CA","Canada","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","T","All educational programmes","9999","Latest available year","PER","Persons","0","Units",,,121.001,,
"AUT","Austria","T","Total","US","United States","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","T","All educational programmes","9999","Latest available year","PER","Persons","0","Units",,,616.675,,
"AUT","Austria","T","Total","A9","Latin America & Carribean","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","T","All educational programmes","9999","Latest available year","PER","Persons","0","Units",,,901.688,,
"AUT","Austria","T","Total","CL","Chile","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","T","All educational programmes","9999","Latest available year","PER","Persons","0","Units",,,50.502,,
"AUT","Austria","T","Total","MX","Mexico","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","T","All educational programmes","9999","Latest available year","PER","Persons","0","Units",,,122.172,,
"AUT","Austria","T","Total","E1","Europe ","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","T","All educational programmes","9999","Latest available year","PER","Persons","0","Units",,,56247.077,,
"AUT","Austria","T","Total","AT","Austria","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","T","All educational programmes","9999","Latest available year","PER","Persons","0","Units",,,,"z","Not applicable"
"AUT","Austria","T","Total","BE","Belgium","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","T","All educational programmes","9999","Latest available year","PER","Persons","0","Units",,,114.834,,
"AUT","Austria","T","Total","CH","Switzerland","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","T","All educational programmes","9999","Latest available year","PER","Persons","0","Units",,,846.297,,
"AUT","Austria","T","Total","CZ","Czech Republic","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","T","All educational programmes","9999","Latest available year","PER","Persons","0","Units",,,479.003,,
"AUT","Austria","T","Total","DE","Germany","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","T","All educational programmes","9999","Latest available year","PER","Persons","0","Units",,,27149.518,,
"AUT","Austria","T","Total","DK","Denmark","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","T","All educational programmes","9999","Latest available year","PER","Persons","0","Units",,,58,,
"AUT","Austria","T","Total","EE","Estonia","L5T8","Total tertiary education (ISCED2011 levels 5 to 8)","T","All educational programmes","9999","Latest available year","PER","Persons","0","Units",,,55,,
