Domicile,2012,2013,2014,2015,2016
UK,,,,,
England,"1,578,315","1,529,430","1,497,715","1,511,890","1,540,205"
Wales,"101,295","100,085","99,200","97,585","98,485"
Scotland,"165,860","165,060","164,005","165,095","169,240"
Northern Ireland,"64,405","64,570","63,965","63,600","63,070"
Other UK,"4,920","4,540","4,315","4,145","4,130"
Total UK,"1,914,795","1,863,690","1,829,195","1,842,315","1,875,125"
Non-UK,,,,,
Other European Union,"125,325","125,295","124,575","127,440","134,835"
Non-European Union,"299,490","309,910","312,010","310,575","307,540"
Total Non-UK,"424,815","435,210","436,585","438,010","442,375"
Not known,860,460,295,505,375
Total all domiciles,"2,340,470","2,299,355","2,266,075","2,280,830","2,317,880"
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
