Title,Top ten European-Union countries of domicile (excluding the UK) in 2016/17 for HE student enrolments,,,
Location,UK,,,
Time period,2012/13 to 2016/17,,,
Data source,HESA,,,
Data source link,https://www.hesa.ac.uk/data-and-analysis/sfr247/figure-10,,,
Data file canonical link,https://www.hesa.ac.uk/data-and-analysis/sfr247/figure-10.csv,,,
Licence,Creative Commons Attribution 4.0 International Licence,,,
Code page,ISO 8859-1,,,
Last updated,Jan-18,,,
,,,,
Country of domicile,Country of HE provider,First year marker,Academic year,Student count
Austria,All,All,2016/17,1940.000
Austria,All,First year,2016/17,940.000
Austria,All,Other years,2016/17,995.000
Austria,All,All,2015/16,1850.000
Austria,All,First year,2015/16,860.000
Austria,All,Other years,2015/16,990.000
Austria,All,All,2014/15,1880.000
Austria,All,First year,2014/15,915.000
Austria,All,Other years,2014/15,965.000
Austria,All,All,2013/14,1785.000
Austria,All,First year,2013/14,835.000
Austria,All,Other years,2013/14,950.000
Austria,All,All,2012/13,1820.000
Austria,All,First year,2012/13,850.000
Austria,All,Other years,2012/13,965.000
Austria,England,First year,2016/17,755.000
Austria,England,Other years,2016/17,775.000
Austria,England,All,2016/17,1530.000
Austria,England,First year,2015/16,690.000
Austria,England,Other years,2015/16,750.000
Austria,England,All,2015/16,1435.000
Austria,England,First year,2014/15,730.000
Austria,England,Other years,2014/15,760.000
Austria,England,All,2014/15,1485.000
Austria,England,First year,2013/14,685.000
Austria,England,Other years,2013/14,785.000
Austria,England,All,2013/14,1470.000
Austria,England,First year,2012/13,715.000
Austria,England,Other years,2012/13,810.000
Austria,England,All,2012/13,1525.000
Austria,Northern Ireland,First year,2016/17,0.000
Austria,Northern Ireland,Other years,2016/17,5.000
Austria,Northern Ireland,All,2016/17,5.000
Austria,Northern Ireland,First year,2015/16,0.000
Austria,Northern Ireland,Other years,2015/16,5.000
Austria,Northern Ireland,All,2015/16,10.000
Austria,Northern Ireland,First year,2014/15,5.000
Austria,Northern Ireland,Other years,2014/15,5.000
Austria,Northern Ireland,All,2014/15,10.000
Austria,Northern Ireland,First year,2013/14,0.000
Austria,Northern Ireland,Other years,2013/14,5.000
Austria,Northern Ireland,All,2013/14,10.000
