Year,Country/Oringin,Student Number,,,,,,,,,
2006,China,"25,135",,,,,,,,,
2006,India,"14,095",,,,,,,,,
2006,Malaysia,"5,600",,,,,,,,,
2006,Other Asia,"28,800",,,,,,,,,
2006,Total EU,"55,410",,,,,,,,,
2006,Africa,"16,240",,,,,,,,,
2006,North America,"13,990",,,,,,,,,
2006,Middle East,"7,575",,,,,,,,,
2006,Other Europe,"6,595",,,,,,,,,
2006,South America,"2,220",,,,,,,,,
2006,Australasia,"1,255",,,,,,,,,
2007,China,"24,670",,,,,,,,,
2007,India,"16,190",,,,,,,,,
2007,Malaysia,"5,950",,,,,,,,,
2007,Other Asia,"28,315",,,,,,,,,
2007,Total EU,"57,690",,,,,,,,,
2007,Africa,"17,130",,,,,,,,,
2007,North America,"13,260",,,,,,,,,
2007,Middle East,"8,290",,,,,,,,,
2007,Other Europe,"6,360",,,,,,,,,
2007,South America,"2,250",,,,,,,,,
2007,Australasia,"1,260",,,,,,,,,
2008,China,"28,905",,,,,,,,,
2008,India,"23,040",,,,,,,,,
2008,Malaysia,"6,370",,,,,,,,,
2008,Other Asia,"30,545",,,,,,,,,
2008,Total EU,"60,160",,,,,,,,,
2008,Africa,"19,190",,,,,,,,,
2008,North America,"14,065",,,,,,,,,
2008,Middle East,"10,700",,,,,,,,,
2008,Other Europe,"7,440",,,,,,,,,
2008,South America,"2,065",,,,,,,,,
2008,Australasia,"1,210",,,,,,,,,
2009,China,"36,950",,,,,,,,,
2009,India,"23,125",,,,,,,,,
2009,Malaysia,"7,275",,,,,,,,,
2009,Other Asia,"33,820",,,,,,,,,
2009,Total EU,"64,390",,,,,,,,,
2009,Africa,"20,310",,,,,,,,,
2009,North America,"14,435",,,,,,,,,
2009,Middle East,"13,305",,,,,,,,,
2009,Other Europe,"8,400",,,,,,,,,
2009,South America,"2,185",,,,,,,,,
2009,Australasia,"1,580",,,,,,,,,
2010,China,"44,805",,,,,,,,,
2010,India,"23,970",,,,,,,,,
2010,Malaysia,"7,260",,,,,,,,,
2010,Other Asia,"36,265",,,,,,,,,
2010,Total EU,"65,470",,,,,,,,,
2010,Africa,"19,495",,,,,,,,,
2010,North America,"15,000",,,,,,,,,
2010,Middle East,"14,220",,,,,,,,,
2010,Other Europe,"9,040",,,,,,,,,
2010,South America,"2,495",,,,,,,,,
2010,Australasia,"1,240",,,,,,,,,
2011,China,"53,525",,,,,,,,,
2011,India,"16,335",,,,,,,,,
2011,Malaysia,"7,805",,,,,,,,,
2011,Other Asia,"35,470",,,,,,,,,
2011,Total EU,"64,765",,,,,,,,,
2011,Africa,"18,155",,,,,,,,,
2011,North America,"15,500",,,,,,,,,
2011,Middle East,"12,925",,,,,,,,,
2011,Other Europe,"9,565",,,,,,,,,
2011,South America,"2,425",,,,,,,,,
2011,Australasia,"1,325",,,,,,,,,
2012,China,"56,535",,,,,,,,,
2012,India,"12,280",,,,,,,,,
2012,Malaysia,"8,045",,,,,,,,,
2012,Other Asia,"35,080",,,,,,,,,
2012,Total EU,"56,195",,,,,,,,,
2012,Africa,"17,815",,,,,,,,,
2012,North America,"15,310",,,,,,,,,
2012,Middle East,"12,500",,,,,,,,,
2012,Other Europe,"9,975",,,,,,,,,
2012,South America,"2,755",,,,,,,,,
2012,Australasia,"1,355",,,,,,,,,
2013,China,"58,810",,,,,,,,,
2013,India,"11,270",,,,,,,,,
2013,Malaysia,"9,070",,,,,,,,,
2013,Other Asia,"36,535",,,,,,,,,
2013,Total EU,"57,190",,,,,,,,,
2013,Africa,"19,025",,,,,,,,,
2013,North America,"15,635",,,,,,,,,
2013,Middle East,"13,860",,,,,,,,,
2013,Other Europe,"10,080",,,,,,,,,
2013,South America,"3,575",,,,,,,,,
2013,Australasia,"1,390",,,,,,,,,
2014,China,"58,845",,,,,,,,,
2014,India,"10,125",,,,,,,,,
2014,Malaysia,"8,540",,,,,,,,,
2014,Other Asia,"33,660",,,,,,,,,
2014,Total EU,"57,815",,,,,,,,,
2014,Africa,"17,830",,,,,,,,,
2014,North America,"15,730",,,,,,,,,
2014,Middle East,"14,250",,,,,,,,,
2014,Other Europe,"10,065",,,,,,,,,
2014,South America,"3,860",,,,,,,,,
2014,Australasia,"1,410",,,,,,,,,
2015,China,"62,105",,,,,,,,,
2015,India,"9,095",,,,,,,,,
2015,Malaysia,"7,495",,,,,,,,,
2015,Other Asia,"32,810",,,,,,,,,
2015,Total EU,"59,100",,,,,,,,,
2015,Africa,"16,240",,,,,,,,,
2015,North America,"16,385",,,,,,,,,
2015,Middle East,"13,935",,,,,,,,,
2015,Other Europe,"9,270",,,,,,,,,
2015,South America,"3,405",,,,,,,,,
2015,Australasia,"1,445",,,,,,,,,
2016,China,"66,415",,,,,,,,,
2016,India,"9,720",,,,,,,,,
2016,Malaysia,"6,225",,,,,,,,,
2016,Other Asia,"32,400",,,,,,,,,
2016,Total EU,"63,035",,,,,,,,,
2016,Africa,"13,990",,,,,,,,,
2016,North America,"16,810",,,,,,,,,
2016,Middle East,"13,470",,,,,,,,,
2016,Other Europe,"8,775",,,,,,,,,
2016,South America,"3,000",,,,,,,,,
2016,Australasia,"1,475",,,,,,,,,
